"","ds","tv_spend","digital_spend","social_spend","search_spend","radio_spend","nps_score","type","solID","cluster","top_sol"
"15196",2022-03-20,37623.7241561572,11851.1789399136,14421.8708631237,3735.01319002728,2434.14378937088,48.7014726212392,"adstockedMedia","1_41_1",3,FALSE
"15197",2022-03-27,54803.1380875994,7890.62869630592,6020.46557809734,2484.02538981765,1726.3355677167,46.9779272520996,"adstockedMedia","1_41_1",3,FALSE
"15198",2022-04-03,48812.6520082372,4876.35321401606,14582.5011445082,3809.70585472301,1460.61986203491,51.8017583807804,"adstockedMedia","1_41_1",3,FALSE
"15199",2022-04-10,42532.6341219593,10479.2260466214,6001.28882324606,2483.97007381862,920.148160965751,37.9948169915895,"adstockedMedia","1_41_1",3,FALSE
"15200",2022-04-17,43160.8973141662,6291.4349349353,2097.11104896684,5060.20549052018,844.65819113505,28.6835670619637,"adstockedMedia","1_41_1",3,FALSE
"15201",2022-04-24,38333.9766205363,6189.69956588909,2777.31209100575,2868.40814468821,3124.73862797483,21.9318355786824,"adstockedMedia","1_41_1",3,FALSE
"15202",2022-05-01,37138.8696873952,10533.5775479093,5124.32434143784,803.26517833065,3300.948922708,55.9417203451889,"adstockedMedia","1_41_1",3,FALSE
"15203",2022-05-08,38459.5560285179,11277.9396346943,12431.687654843,1162.3826281432,2979.62042886682,60.9179752325232,"adstockedMedia","1_41_1",3,FALSE
"15204",2022-05-15,32561.1017880511,6806.02608472076,5218.28821951604,2753.62815410263,2094.60405498657,51.8266135443399,"adstockedMedia","1_41_1",3,FALSE
"15205",2022-05-22,43365.630190695,16496.8081075304,6328.14546060098,7870.30959000516,2319.83265850339,40.8973575142755,"adstockedMedia","1_41_1",3,FALSE
"15206",2022-05-29,35110.1940658907,19034.3963465892,2842.05675188847,5949.25926920552,4025.98903623686,26.6802446528155,"adstockedMedia","1_41_1",3,FALSE
"15207",2022-06-05,29020.7965188076,16199.5719222785,11498.5165581769,1312.174430904,2513.55746616933,51.5270698359132,"adstockedMedia","1_41_1",3,FALSE
"15208",2022-06-12,34725.9875869034,15387.5921188973,10829.969360665,836.58368040449,2348.91900860424,34.0667402308729,"adstockedMedia","1_41_1",3,FALSE
"15209",2022-06-19,43913.9954844356,15164.7060797672,5493.14325125032,5590.08530150087,5454.75243832867,36.9820662591526,"adstockedMedia","1_41_1",3,FALSE
"15210",2022-06-26,44621.9421821389,17946.5020729302,9831.89998059524,4983.86831555078,4757.02810060323,38.7800506958409,"adstockedMedia","1_41_1",3,FALSE
"15211",2022-07-03,42732.1069970833,16727.4026576188,5978.93635270937,10912.8153393783,2966.71533982654,43.5638282131215,"adstockedMedia","1_41_1",3,FALSE
"15212",2022-07-10,40059.6105511649,9526.95799248496,9443.0536921567,3756.45399555762,3414.94219297829,37.3527928211623,"adstockedMedia","1_41_1",3,FALSE
"15213",2022-07-17,37135.5902133774,9598.71575180089,6163.59020500078,1892.81261559672,1816.75272668028,46.217943797564,"adstockedMedia","1_41_1",3,FALSE
"15214",2022-07-24,49195.0776026041,28264.9702655052,5294.60275456163,2995.80412116299,1969.63245918195,39.2240781352794,"adstockedMedia","1_41_1",3,FALSE
"15215",2022-07-31,49586.7850325688,9917.46527166481,3880.36877144459,2245.71454275918,2929.39341103747,54.4092136228944,"adstockedMedia","1_41_1",3,FALSE
"15216",2022-08-07,44124.3930164655,8718.10987610914,6371.4671426637,5516.26508463502,3048.8126884851,59.9613330086573,"adstockedMedia","1_41_1",3,FALSE
"15217",2022-08-14,38517.6588011848,17082.5784706747,5554.17886318054,2670.25709648623,3437.60781650177,49.428832201387,"adstockedMedia","1_41_1",3,FALSE
"15218",2022-08-21,45150.203035218,9830.45521332053,6502.5658519416,2513.26889136063,3987.11063660502,52.6522729110955,"adstockedMedia","1_41_1",3,FALSE
"15219",2022-08-28,54327.1740029493,14602.3768318661,2673.7133492225,1514.16502145034,3670.88272429599,72.7817506966889,"adstockedMedia","1_41_1",3,FALSE
"15220",2022-09-04,59389.9710283748,12369.4256841631,8637.78262185309,4554.77935771942,3476.15127620793,35.3392465103933,"adstockedMedia","1_41_1",3,FALSE
"15221",2022-09-11,47943.8376061697,8723.96467841741,11733.081720194,1959.07970216783,3092.39285750783,30.8121330383762,"adstockedMedia","1_41_1",3,FALSE
"15222",2022-09-18,43542.8085580496,4090.77003596015,7140.78610674936,3756.18015880211,1845.73397084958,53.4494028515302,"adstockedMedia","1_41_1",3,FALSE
"15223",2022-09-25,39378.748026335,10109.5812452794,14117.3834541861,8883.83130856574,3609.5648613281,70.8632277987227,"adstockedMedia","1_41_1",3,FALSE
"15224",2022-10-02,38632.2992864824,7580.73148345583,14441.0522305729,2059.77631247159,2875.90836281469,46.143148386383,"adstockedMedia","1_41_1",3,FALSE
"15225",2022-10-09,47379.6620601289,9602.34584639769,9600.29704949712,7046.16703477864,3463.90044666546,67.4164330663398,"adstockedMedia","1_41_1",3,FALSE
"15226",2022-10-16,59950.3472629447,13462.8004692333,11126.5931890666,4402.48498128131,4182.67845806645,50.0908408994172,"adstockedMedia","1_41_1",3,FALSE
"15227",2022-10-23,57246.0972421151,16855.679286371,10199.9210281966,1717.37528473796,2722.86697162968,38.919938855505,"adstockedMedia","1_41_1",3,FALSE
"15228",2022-10-30,47628.2701243917,10675.1022948082,3584.72068991181,3039.65355726834,2078.67105409833,34.078126612015,"adstockedMedia","1_41_1",3,FALSE
"15229",2022-11-06,45406.6982103389,8236.76369047316,3754.25041419543,4754.78032946883,1872.19158027304,53.0832300961772,"adstockedMedia","1_41_1",3,FALSE
"15230",2022-11-13,61477.3342982529,5613.94469308501,6670.28820981646,2151.29259741027,4025.01273472531,36.4258001555788,"adstockedMedia","1_41_1",3,FALSE
"15231",2022-11-20,55831.0557902484,14984.8810301063,11544.1420385862,3931.72385225901,2395.6337410114,46.7231930271224,"adstockedMedia","1_41_1",3,FALSE
"15232",2022-11-27,48975.529396196,27802.868571841,4332.30865530761,7765.00180093606,4693.79955880915,65.7757212124504,"adstockedMedia","1_41_1",3,FALSE
"15233",2022-12-04,44898.1604652169,22089.2229901451,1878.23302273428,3089.8384263327,3669.65531875395,45.0231386963681,"adstockedMedia","1_41_1",3,FALSE
"15234",2022-12-11,46975.4792844849,22218.8173180125,3752.20454722407,1610.51314548895,3260.1457092879,62.401953432389,"adstockedMedia","1_41_1",3,FALSE
"15235",2022-12-18,39681.6921929529,11315.4155771308,1456.94796295083,2565.99148580321,3997.44172068793,33.7782955187247,"adstockedMedia","1_41_1",3,FALSE
"15236",2022-12-25,36605.7720017839,13588.4515804582,3543.06247296927,3090.24331474649,3197.47561670775,39.0525834382841,"adstockedMedia","1_41_1",3,FALSE
"15237",2023-01-01,47165.032360554,16282.9384792011,5429.14448588587,5852.88900682593,4288.90267271018,29.0916846226442,"adstockedMedia","1_41_1",3,FALSE
"15238",2023-01-08,48250.704855959,4930.98115461864,3067.27025163695,3302.9481549017,2773.45953533931,45.8735505293405,"adstockedMedia","1_41_1",3,FALSE
"15239",2023-01-15,46928.477036261,5357.15919855432,4089.01386454305,2379.96214415309,4792.75979232137,56.0888766404773,"adstockedMedia","1_41_1",3,FALSE
"15240",2023-01-22,54797.3738310753,20478.2365176869,7677.38237881309,1453.54819394033,3074.15322274722,48.6330165299051,"adstockedMedia","1_41_1",3,FALSE
"15241",2023-01-29,45618.5251549423,8651.66695409004,4433.14087615965,741.981972766024,5037.53365795395,61.6709301445322,"adstockedMedia","1_41_1",3,FALSE
"15242",2023-02-05,41831.0422133064,19797.0522827319,2998.96953679462,880.65038822128,3213.45343541609,39.3035753808996,"adstockedMedia","1_41_1",3,FALSE
"15243",2023-02-12,44324.7306235674,8444.33008048391,3959.09093818154,902.231797013132,2447.24549763317,48.7173392807881,"adstockedMedia","1_41_1",3,FALSE
"15244",2023-02-19,45699.4096297111,6487.09105574509,2492.09860855542,2199.28536672066,1570.91283413734,40.6795490321551,"adstockedMedia","1_41_1",3,FALSE
"15245",2023-02-26,35847.2037890409,12325.0958503154,12158.1700740794,984.8059486525,1280.57498441679,50.4579817781932,"adstockedMedia","1_41_1",3,FALSE
"15246",2023-03-05,34543.6698661958,11844.6540806185,7051.78263810097,2580.84675421967,1750.96602224485,53.1574654535205,"adstockedMedia","1_41_1",3,FALSE
"15247",2023-03-12,35531.9892968446,9618.38697200739,3936.82525308924,8545.3766508088,2287.98115558858,54.4333879796937,"adstockedMedia","1_41_1",3,FALSE
"15248",2023-03-19,41056.2093774158,21286.4228650359,5091.19713834795,6978.78224091232,3695.70391497529,34.7638039439912,"adstockedMedia","1_41_1",3,FALSE
"15249",2023-03-26,43446.6962021308,9380.09642828715,4570.24638096954,3322.17952601777,2743.70511956538,34.853315284433,"adstockedMedia","1_41_1",3,FALSE
"15250",2023-04-02,42257.0189970812,9941.23713243957,4157.94574644187,12150.1754024218,2961.69222857177,37.0624645137473,"adstockedMedia","1_41_1",3,FALSE
"15251",2023-04-09,31715.6048770503,14063.4062180956,3382.88357143204,4892.9401892222,2792.93485764248,42.8882684486321,"adstockedMedia","1_41_1",3,FALSE
"15252",2023-04-16,34668.9990277641,13448.1683656096,3065.72587956794,3820.29872139238,3138.70969076443,47.3837417805864,"adstockedMedia","1_41_1",3,FALSE
"15253",2023-04-23,37389.0113532833,9137.25676436347,1666.52320496563,2946.52479109047,2127.48802101755,55.3432379314371,"adstockedMedia","1_41_1",3,FALSE
"15254",2023-04-30,70659.2190691213,8039.25038098188,8751.77515651321,2989.1813917536,1714.28875589476,37.456802504945,"adstockedMedia","1_41_1",3,FALSE
"15255",2023-05-07,59837.0217798451,15207.2313472689,7665.11372910052,2148.47368456131,1436.56445693672,26.6285749471272,"adstockedMedia","1_41_1",3,FALSE
"15256",2023-05-14,56609.8017705481,17581.6805433099,6489.66134934904,2440.57569069578,3676.9058953341,70.6217885164334,"adstockedMedia","1_41_1",3,FALSE
"15257",2023-05-21,63477.2028270829,14591.4580279088,4949.59415845404,7147.14496415999,5256.00386479103,35.6184701350213,"adstockedMedia","1_41_1",3,FALSE
"15258",2023-05-28,63596.6006756536,8728.22697909006,2901.15865199982,7111.77456620336,3202.74047526405,55.6406733435386,"adstockedMedia","1_41_1",3,FALSE
"15259",2023-06-04,71594.2023627357,8034.55965679123,2602.36563660704,1583.28744231632,2220.11730969639,48.0872042928982,"adstockedMedia","1_41_1",3,FALSE
"15260",2023-06-11,53498.9395760548,10178.2101418637,1620.80082855807,941.570380973744,3069.79473199935,49.9151409976565,"adstockedMedia","1_41_1",3,FALSE
"15261",2023-06-18,43123.6098461391,11477.1880406718,2410.53695946396,1452.4259840874,5253.0388125978,47.1019800283466,"adstockedMedia","1_41_1",3,FALSE
"15262",2023-06-25,38526.2295208793,14247.8518427375,1967.05163952786,5057.06171152633,6929.00176007011,42.214438196448,"adstockedMedia","1_41_1",3,FALSE
"15263",2023-07-02,30435.8269001925,11093.253164089,10449.4276101978,6806.75911504565,3984.17960578252,51.9148675187807,"adstockedMedia","1_41_1",3,FALSE
"15264",2023-07-09,34582.380792628,15911.4829352926,9284.11420412473,5449.42865974501,2729.23051709578,42.0063782243451,"adstockedMedia","1_41_1",3,FALSE
