"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","digital_spend_thetas","nps_score_thetas","radio_spend_thetas","search_spend_thetas","social_spend_thetas","tv_spend_thetas","digital_spend_alphas","nps_score_alphas","radio_spend_alphas","search_spend_alphas","social_spend_alphas","tv_spend_alphas","digital_spend_gammas","nps_score_gammas","radio_spend_gammas","search_spend_gammas","social_spend_gammas","tv_spend_gammas","cluster","n","top_sol"
"27","1_38_4",0,0.560380885752076,0.169540125013168,0.192999971051213,0.0911408786845225,0.169540125013168,0.621416112456569,0.42648163517752,0.518580401013731,0.585653648412968,0.315202346698476,0.034514253389835,0.468389362674354,0.34750534813843,0.883436209483586,0.415345019173811,0.866483272381393,0.844879875861934,0.417433182001568,0.647769971524317,0.556988776327072,0.610631186079276,0.123595878644152,0.802342082184246,6,32,FALSE
"28","1_40_1",0,0.259268735845019,0.242734893244599,0.252063203628632,0.207853689125031,0.242734893244599,0.526163749523842,0.451581574602439,0.414613510257306,0.240466208949898,0.69712803832755,0.567650313086203,0.774762522699937,0.523935128450194,0.814763333290439,0.145678267405469,0.878503189432075,0.454609112324984,0.129094151114641,0.584979985218395,0.74431689877725,0.679370957506391,0.649481324193073,0.416480787228818,2,22,FALSE
"29","1_41_1",0,0.280723994558879,0.239628923231453,0.244465854805962,0.198894234568014,0.239628923231453,0.571858318735707,0,0.473209839999208,0.434336333472928,0.670538566635772,0.904167165203403,0.6485540561455,0.501840511363353,0.796540375469897,0.320229855504961,0.799517085812991,0.317373476747501,0.23487304687331,0.970789073159995,0.562586742441747,0.602667757190896,0.470759994632986,0.333248978183517,3,18,FALSE
"30","1_41_2",0,0.51036567379625,0.230113355495868,0.258305385521829,0.208884903618473,0.230113355495868,0.551167212732414,0.246300109988031,0.601644281004269,0.66456284877905,0.379037989601129,0.266973236312784,0.116109399867173,0.517741448500483,0.968455619880002,0.374627768752952,0.850406214810249,0.814338141148431,0.227303672903275,0.842711714536314,0.812074744927918,0.682002533077584,0.205550294276023,0.785302278374785,6,32,FALSE
"31","1_42_1",0,0.26559846946216,0.248070924572796,0.256596500111884,0.213155168675748,0.248070924572796,0.372232826232792,0.956906899337152,0.554712260969181,0.572319374592516,0.555872111505682,0.416077458352022,0.618627759357717,0.517290600474016,0.614626208030413,1,0.327326395292356,0.194203109689463,0.211754789661674,0.88722942976244,0.378165937361714,0.51461770167195,0.444322576023795,0,5,12,FALSE
"32","1_42_4",0,0.462473698547796,0.169086890340094,0.190348419536344,0.0893518732770658,0.169086890340094,0.960890211710948,0.0367771010063271,0.678032936197032,0.728560481537896,0.248231278227651,0,0.827986920032054,0.481486926435385,0.850459534260748,0.245622540762666,0.8593556333843,0.841722044258138,0.446773754350255,1,0.707879591219288,0.863925734538059,0.315400166861029,1,6,32,FALSE
"33","1_43_2",0,0.274528232508147,0.227230105671606,0.254929409284385,0.205389221812878,0.227230105671606,0.711399469823575,0.591313448414425,0.378550705582756,0.227664698771259,0.73804578658813,0.633110123919057,0.852155115760842,0.523926798776317,0.849519782094951,0.330998001700002,0.914607860821136,0.322793160818329,0.285792006724189,0.503200719817579,0.884533887493365,0.499213085517803,0.864462454559724,0.41802597794623,2,22,FALSE
"34","1_43_4",0,0.558262044501553,0.228137139433264,0.242426276646815,0.189653066222172,0.228137139433264,0.996741698164505,0.604262465105848,0.513515255775179,0.53283091835193,0.559620935618311,0.885081247663839,0.642907011431767,0.615603979983396,0.0619382014470891,0.885477473245266,0.537255065403258,1,0.509758641093828,0.209315308100953,0.324498749439152,0.770722567306638,0.348203554256823,0.457191405358568,4,8,FALSE
"35","1_44_3",0,0.374708335000363,0.238891040634906,0.250686174379043,0.198570842623163,0.238891040634906,0.493677380461426,0.235606640382663,0.605418538757232,0.372575899470188,0.663001000056559,0.20787966703124,0.671185227598366,0.604716660260556,0.805103514955477,0.506141778703006,0.83549998606688,0.684864488704094,0.126025215163848,0.713479235204137,0.734651080715846,0.444053200180941,0.514293287955993,0.658769589289818,6,32,FALSE
"36","1_45_2",0,0.419139647694074,0.192667292487903,0.225486236312239,0.167003609134969,0.192667292487903,0.597927161290402,0.316000994104785,0.567201897492179,0.510837475361654,0.514075120209068,0.0158223159108642,0.622106538388994,0.646649580901749,0.782887196966564,0.36868759322724,0.876680029213907,0.717804991359003,0.264176229227086,0.698965071939228,0.715304968887784,0.64904765156583,0.417727275757176,0.931819977684251,6,32,FALSE
"37","1_45_4",0,0.460173618334895,0.199471080614048,0.231571014749049,0.175034761383843,0.199471080614048,0.597734728989019,0.350128399422617,0.538846232812542,0.441049036516424,0.644740746483669,0.0761597535116356,0.671083293387656,0.574659955033452,0.819644900888988,0.222318554281814,0.825218077031907,0.83376702113132,0.272791042337366,0.643664339283766,0.754480215112537,0.88100850982465,0.32024423661073,0.831999285316884,6,32,FALSE
"38","1_46_1",0,0.299620128154875,0.23631427023331,0.263320980720719,0.215197258316685,0.23631427023331,0.478122246816352,0.677814790460742,0.423738111199786,0.60331288248845,0.373229763313678,0.762049532744456,0.167167908896643,0.429865672445476,0.907632872801533,0.35807440021419,0.870322791273408,0.463355956500305,0.272130132404658,0.428054028360685,0.81514382978884,0.508110372692096,0.536964562382523,0.188675466014175,3,18,FALSE
"39","1_47_1",0,0.232240497306409,0.24719479003258,0.258033723671193,0.207355571336548,0.24719479003258,0.444458186340943,0.264050629392243,0.654373780914378,0.684213111418425,0.79156346543875,0.715342807321768,0.727498231011389,0.639789887774562,0.754065282142865,0.290155054887583,0.811809493518052,0.308907432077609,0.146527349848652,0.242385174253148,0.689582125371159,0.231014653777305,0.750275650255728,0.466916894292474,3,18,FALSE
"40","1_47_3",0,0.268587922124221,0.242643902132329,0.252035843860661,0.207855770253384,0.242643902132329,0.526163749523842,0.451581574602439,0.503033195605266,0.381790874389185,0.69712803832755,0.567650313086203,0.774762522699937,0.523935128450194,0.814763333290439,0.0913603615179821,0.878503189432075,0.454609112324984,0.129094151114641,0.584979985218395,0.74431689877725,0.809064531005701,0.649481324193073,0.416480787228818,2,22,FALSE
"41","1_47_4",0,0.522093892783373,0.227287295220168,0.256128463189522,0.205554038548442,0.227287295220168,0.707535865705714,0.6063064590402,0.457502199757333,0.452867430855308,0.163919169375149,0.572481947634991,0.824498647235185,0.519425325824204,0.854774407613972,0.404428309925568,0.301928950234697,0.96874046332128,0.284859543532003,0.502036033526624,0.693344403825452,0.671971366116228,0.0302796613874218,0.502362173725535,6,32,FALSE
"42","1_48_1",0,0.24196601170574,0.256920615999527,0.266384807319522,0.217073242296417,0.256920615999527,0.0911015720132671,0.672731411859629,0.410196237876277,0.372203340115742,0.255784673616587,0.575146460205858,0.548313125197987,0.370942896267597,0,0.521683752389556,0.839864079366166,0.209046317495256,0.338060912533928,0.187288284323341,0.541544257881316,0.8321382543716,0.607588128103658,0.202063879353837,4,8,FALSE
"43","1_48_3",0,0.277541203859858,0.239721812045453,0.24440572212502,0.198927837273651,0.239721812045453,0.571858318735707,0,0.473209839999208,0.434336333472928,0.670538566635772,0.904167165203403,0.6485540561455,0.501840511363353,0.796540375469897,0.320229855504961,0.799517085812991,0.317373476747501,0.23487304687331,0.970789073159995,0.562586742441747,0.602667757190896,0.600591328713218,0.333248978183517,3,18,FALSE
